,Key,Cluster,Mean Value,Midline distance,AP position,Lateral position,Z position,Emission,Occupancy,kon,koff
0,1000223916.0,0.0,82708.58838452479,-234.0581685809797,203.972,58.6197,-57.7577,11834.600035459916,0.371878779753412,0.33544394501143104,0.560833608955404
1,1000223917.0,0.0,46536.69601172896,-239.261456440739,218.765,58.1432,-57.5995,14838.418826041758,0.19385288933470085,0.21039421017460141,0.9475162554820548
2,1000223915.0,0.0,38792.51590410753,-247.44332219848675,180.076,58.6678,-61.5151,13405.510929728891,0.1467636197844018,0.15410117319815184,0.8684270338250375
3,1000223539.0,0.0,59106.25050725962,248.1502879191983,184.581,90.0651,-62.1825,12750.064359193779,0.2634511185203769,0.1658135642321905,0.48011775391788525
4,1000223862.0,2.0,143298.44854095991,-257.5139981744731,223.858,57.4583,-60.9276,12660.421717885174,0.6380724632836619,0.5524389788058572,0.3244031306003341
5,1000223598.0,2.0,128875.46523187618,260.21660736210555,168.11700000000002,90.7651,-60.1681,13917.31479266091,0.5606986497326278,0.46302950850358016,0.3776972970939919
6,1000223600.0,2.0,110902.73697650767,280.0703933675254,214.551,90.4374,-61.1242,13079.484418145774,0.48528855307576,0.38944798057840735,0.42084554723585144
7,1000223898.0,0.0,80936.96698909778,-281.07284900427953,161.296,57.9992,-61.7667,10805.018613437544,0.39675046844302897,0.2733250536565264,0.45395975739771666
8,1000269815.0,0.0,62090.74398245434,-290.0558575389217,229.035,56.3677,-55.7128,12454.477747266395,0.2869497523727336,0.16682654686774323,0.41787629416135286
9,1000224695.0,0.0,45303.016848682426,-294.4619367515891,173.77700000000002,57.3605,-58.0183,14303.480728813978,0.174645105413578,0.0986142914372874,0.6106914040523395
10,1000223540.0,2.0,110000.19493059147,297.10460956813057,175.59599999999998,91.7265,-61.4878,14060.174815871887,0.4656702563631137,0.29944227966474474,0.3562229683009515
11,1000223912.0,0.0,59659.22035227132,-305.09296512409895,197.912,56.5758,-56.0745,8964.981413792997,0.26854674798980216,0.4283220971924596,1.1366121645768112
12,1000223866.0,2.0,102207.56259131695,-308.51215462041387,208.752,56.2546,-58.5414,9018.897074917973,0.4753973033917505,0.677171341486063,0.7320703488259455
13,1000223637.0,0.0,75010.00295290313,313.9695586738786,155.618,92.5961,-63.3021,12116.578858812045,0.3094510096970197,0.40805185343565975,0.8401405530568467
14,1000223542.0,2.0,188293.99904085902,324.2553006231512,196.826,92.0718,-60.333,7657.981718123903,0.8395201817831944,0.49914169019784876,0.09992420338979772
15,1000223541.0,2.0,118943.38827507658,336.56932823303816,203.63,92.2719,-59.114,13147.226723177537,0.5497839173084642,0.562399812802551,0.38407754455799736
16,1000223865.0,1.0,26365.76580120004,-338.20296135474155,167.96,56.2438,-57.7009,12383.63707038883,0.10612417644717685,0.10062315231874541,1.1558958315294847
17,1000223543.0,2.0,126268.26687334919,349.0879289520287,219.52599999999998,92.2855,-60.3521,11653.19513533915,0.5733037976827282,0.682148667673766,0.5337943457959919
18,1000223633.0,0.0,73351.75513613444,354.02876257909173,162.614,93.5605,-60.7041,13534.467298891355,0.32086141809987245,0.17766687885854107,0.38532764465355823
19,1000223914.0,0.0,43207.68302895408,-358.2602236358174,185.93200000000002,55.3529,-62.7497,12348.243049225151,0.17898978543149177,0.15619816807081743,0.6833804778381823
20,1000223547.0,0.0,64706.189784266695,375.7976832387132,188.467,93.6178,-61.74100000000001,12930.65619924996,0.2823213367756118,0.1755434737834473,0.4185064548735312
21,1000223546.0,0.0,73159.86539646289,387.19666050746673,210.903,93.4579,-59.1654,4172.588519365569,0.3411418957219362,0.3128111140949471,0.6000604468127646
22,1000223913.0,0.0,90316.06005356967,-400.59806653584036,191.97799999999998,54.1464,-57.2599,11631.075574458884,0.407062355878697,0.4055694574264605,0.5676986450333492
23,1000223545.0,0.0,66606.52557892734,409.1842097174118,180.949,94.6096,-61.5747,13900.376513664854,0.27076445778275043,0.22964459196146364,0.6259869820515903
24,1000223871.0,0.0,71846.44439467217,-416.23642345122965,214.62400000000002,53.2958,-56.5481,12798.020237374614,0.3029685383919603,0.2247774496879473,0.5963993911021731
25,1000223939.0,1.0,21579.06287195591,-429.70521919222574,157.961,54.0997,-59.3557,13035.345738063192,0.08437528401166382,0.10323369484964431,0.9807850757480306
26,1000223863.0,1.0,15944.902256437768,-431.1707664747204,177.706,53.6796,-59.3855,,0.050048407024960946,0.00560934392683169,0.5737375799550642
27,1000223544.0,1.0,16101.8966039179,432.59146305327937,171.359,95.3735,-61.6463,16212.9130013406,0.055898639287812434,0.05069354288113403,1.0807431037443882
28,1000223872.0,0.0,62103.09798272462,-440.2502624602923,204.016,52.9316,-57.31,6002.69944439477,0.2990353520556595,0.38085273852719137,0.8735592610822313
29,1000223870.0,0.0,59812.26735303318,-466.3468224548095,219.91099999999997,51.9927,-55.1872,7293.283198410527,0.2642109450594142,0.34973758532240007,0.7771125113312847
30,1000227279.0,1.0,17352.004318414864,-494.1290624728535,225.59,51.2407,-56.6206,13761.483729426367,0.060112525272326044,0.10076568732399546,1.4095259290046411
31,1000223931.0,0.0,82443.93712922369,-501.91696058044226,164.11,52.3081,-57.6149,12383.014671819328,0.3733433875661384,0.32998926364673015,0.5803378602884388
32,1000223548.0,2.0,109076.66694880751,508.03215114374876,206.104,96.4183,-60.0776,9736.679356659857,0.5189409124496561,0.5074678363182555,0.4186309381214444
33,1000223551.0,0.0,80223.08689035206,515.0624484750839,193.09799999999998,96.8378,-61.4501,11396.498010785928,0.3921895162317815,0.32328820798682306,0.4578830014345996
34,1000223879.0,0.0,35607.727274284625,-539.0091041222162,197.00599999999997,50.8416,-54.6578,12605.36771248422,0.13593145864104178,0.21667720591047485,1.2216161111302548
35,1000226119.0,0.0,91240.77376085949,540.0229552123417,223.072,96.7668,-60.1153,11858.805043030789,0.4368823194935043,0.4332466009973297,0.5907269193854713
36,1000223869.0,0.0,44780.7477786123,-543.0349361550731,170.669,51.2788,-61.1646,13444.980216160255,0.2027844625573646,0.21672500520674812,0.9486145679467569
37,1000223550.0,0.0,82854.47374124698,545.0312762368884,216.55700000000002,97.008,-60.7763,10887.400880214285,0.40469457139739956,0.3332353057465679,0.402295400777828
38,1000223868.0,0.0,69255.21937420372,-554.2076941396507,182.79,50.8,-57.465,10988.670383753097,0.3133892892670513,0.3036329572375642,0.5307242153432764
39,1000223641.0,0.0,39464.651534225,568.3201105614232,155.859,98.7153,-63.794,14389.901691437191,0.15023848746670576,0.2278150714250176,1.3547609743733742
40,1000223549.0,1.0,5921.814047246097,571.9928856717064,166.66099999999997,98.5803,-61.3661,,0.005283788269636506,0.00560934392683169,0.5737375799550642
41,1000223553.0,0.0,62820.35370986073,573.9126450474275,198.817,97.9817,-62.6446,8787.500399912473,0.3013130862173267,0.2386090241984713,0.5470456681679086
42,1000223882.0,1.0,26016.802671614485,-577.7883625640779,209.351,49.7666,-55.3657,14308.057574979428,0.0963591566907857,0.1536343532605964,1.3644699422219748
43,1000223552.0,0.0,65365.97558320477,582.8994117710859,176.382,98.6201,-59.6527,12861.417239619755,0.29285399559974534,0.22650269075288595,0.441301991227592
44,1000223642.0,0.0,82857.93232948787,583.8626739550547,161.17700000000002,98.9375,-60.2547,13250.567528479509,0.37287056045342987,0.2733250536565264,0.45395975739771666
45,1000223514.0,0.0,75848.00329372492,629.0837686837751,187.97400000000002,99.3269,-57.6871,9715.538965351127,0.36880993359980785,0.3288653864233496,0.4428083517193714
46,1000223566.0,2.0,99357.94031369853,641.6475488000391,210.543,99.1176,-56.4451,12306.113297300766,0.426055306217397,0.3392501951343851,0.5085464215109701
47,1000223554.0,0.0,39589.006642807224,643.8394560445972,182.80200000000002,99.7213,-60.4234,16048.882384034423,0.15538464953667885,0.2893433444325009,1.6317500050299842
48,1000223867.0,0.0,65918.08642181498,-657.7130082249206,215.033,48.04,-56.7462,8349.166246663735,0.3216381153171581,0.3779001786730449,0.6069158290582083
49,1000223876.0,0.0,46436.91472444011,-672.366643680622,203.018,48.0033,-52.5658,12593.622746487112,0.18238825767378278,0.21610490050036918,1.1143863909211555
50,1000223878.0,0.0,53642.68337198943,-687.9580598501808,176.96900000000002,48.2266,-56.6684,13207.707581401808,0.23515198771547374,0.2225474391217933,0.7322923390358463
51,1000223904.0,0.0,49539.36157822952,-712.045943670833,158.531,48.1318,-57.0837,14567.80074120134,0.2061308036107882,0.2987338597782051,1.1589387033358387
52,1000223877.0,1.0,33544.803636037905,-734.2812413209206,222.24599999999998,46.441,-54.5122,8549.116663475625,0.156039485381257,0.21861852514198926,1.7217640633641988
